2019-10-25 15:15:18.3487||DEBUG|WebApplication1.Program|init main |url: |action: 
2019-10-25 15:15:20.3300|3|DEBUG|Microsoft.AspNetCore.Hosting.Internal.WebHost|Hosting starting |url: |action: 
2019-10-25 15:15:20.5179|37|DEBUG|Microsoft.AspNetCore.DataProtection.Repositories.FileSystemXmlRepository|Reading data from file 'C:\Users\Cavid\AppData\Local\ASP.NET\DataProtection-Keys\key-9f0ced3c-f7e4-4d94-aea6-956e4cda0b78.xml'. |url: |action: 
2019-10-25 15:15:20.5368|18|DEBUG|Microsoft.AspNetCore.DataProtection.KeyManagement.XmlKeyManager|Found key {9f0ced3c-f7e4-4d94-aea6-956e4cda0b78}. |url: |action: 
2019-10-25 15:15:20.5576|13|DEBUG|Microsoft.AspNetCore.DataProtection.KeyManagement.DefaultKeyResolver|Considering key {9f0ced3c-f7e4-4d94-aea6-956e4cda0b78} with expiration date 2019-11-05 16:59:45Z as default key. |url: |action: 
2019-10-25 15:15:20.6407||DEBUG|Microsoft.AspNetCore.DataProtection.TypeForwardingActivator|Forwarded activator type request from Microsoft.AspNetCore.DataProtection.XmlEncryption.DpapiXmlDecryptor, Microsoft.AspNetCore.DataProtection, Version=2.1.1.0, Culture=neutral, PublicKeyToken=adb9793829ddae60 to Microsoft.AspNetCore.DataProtection.XmlEncryption.DpapiXmlDecryptor, Microsoft.AspNetCore.DataProtection, Culture=neutral, PublicKeyToken=adb9793829ddae60 |url: |action: 
2019-10-25 15:15:20.6436|51|DEBUG|Microsoft.AspNetCore.DataProtection.XmlEncryption.DpapiXmlDecryptor|Decrypting secret element using Windows DPAPI. |url: |action: 
2019-10-25 15:15:20.6436||DEBUG|Microsoft.AspNetCore.DataProtection.TypeForwardingActivator|Forwarded activator type request from Microsoft.AspNetCore.DataProtection.AuthenticatedEncryption.ConfigurationModel.AuthenticatedEncryptorDescriptorDeserializer, Microsoft.AspNetCore.DataProtection, Version=2.1.1.0, Culture=neutral, PublicKeyToken=adb9793829ddae60 to Microsoft.AspNetCore.DataProtection.AuthenticatedEncryption.ConfigurationModel.AuthenticatedEncryptorDescriptorDeserializer, Microsoft.AspNetCore.DataProtection, Culture=neutral, PublicKeyToken=adb9793829ddae60 |url: |action: 
2019-10-25 15:15:20.6436|4|DEBUG|Microsoft.AspNetCore.DataProtection.AuthenticatedEncryption.CngCbcAuthenticatedEncryptorFactory|Opening CNG algorithm 'AES' from provider '(null)' with chaining mode CBC. |url: |action: 
2019-10-25 15:15:20.6582|3|DEBUG|Microsoft.AspNetCore.DataProtection.AuthenticatedEncryption.CngCbcAuthenticatedEncryptorFactory|Opening CNG algorithm 'SHA256' from provider '(null)' with HMAC. |url: |action: 
2019-10-25 15:15:20.6582|2|DEBUG|Microsoft.AspNetCore.DataProtection.KeyManagement.KeyRingProvider|Using key {9f0ced3c-f7e4-4d94-aea6-956e4cda0b78} as the default key. |url: |action: 
2019-10-25 15:15:20.6582||DEBUG|Microsoft.AspNetCore.DataProtection.Internal.DataProtectionStartupFilter|Key ring with default key {9f0ced3c-f7e4-4d94-aea6-956e4cda0b78} was loaded during application startup. |url: |action: 
2019-10-25 15:15:20.7401||DEBUG|Microsoft.AspNetCore.Mvc.MvcJsonOptions|Compatibility switch AllowInputFormatterExceptionMessages in type MvcJsonOptions is using default value False |url: |action: 
2019-10-25 15:15:20.7673||DEBUG|Microsoft.AspNetCore.Mvc.MvcOptions|Compatibility switch AllowCombiningAuthorizeFilters in type MvcOptions is using default value False |url: |action: 
2019-10-25 15:15:20.7673||DEBUG|Microsoft.AspNetCore.Mvc.MvcOptions|Compatibility switch AllowBindingHeaderValuesToNonStringModelTypes in type MvcOptions is using default value False |url: |action: 
2019-10-25 15:15:20.7673||DEBUG|Microsoft.AspNetCore.Mvc.MvcOptions|Compatibility switch AllowValidatingTopLevelNodes in type MvcOptions is using default value False |url: |action: 
2019-10-25 15:15:20.7673||DEBUG|Microsoft.AspNetCore.Mvc.MvcOptions|Compatibility switch InputFormatterExceptionPolicy in type MvcOptions is using default value AllExceptions |url: |action: 
2019-10-25 15:15:20.7673||DEBUG|Microsoft.AspNetCore.Mvc.MvcOptions|Compatibility switch SuppressBindingUndefinedValueToEnumType in type MvcOptions is using default value False |url: |action: 
2019-10-25 15:15:20.7889||DEBUG|Microsoft.AspNetCore.Mvc.RazorPages.RazorPagesOptions|Compatibility switch AllowAreas in type RazorPagesOptions is using default value False |url: |action: 
